"name","x","y","z","class"
"ABTB1",0.0281628105981755,0.107952405251023,-0.375727779479751,"SARS-GSE56192"
"AC000041.1",0.0300599973811289,-0.0193669025220547,0.0010134787271181,"MERS-GSE56192"
"AC002094.2",1.35564083260171,-0.07137346632374,0.180306807946782,"common"
"AC002347.2",0.0297530276469624,0.375913872607524,0.120707021422091,"common"
"AC002524.1",0.0304638976529972,-0.066968507066328,0.167409275309086,"SARS-GSE56192"
"AC002985.1",0.0276979210191676,0.115427776473451,-0.368284751310313,"common"
"AC004079.1",0.0312847786936888,-1.41149709192711,0.071064467709656,"common"
"AC004079.2",0.0311923074166794,-0.122339771763668,0.33933946495436,"SARS-GSE56192"
"AC004079.5",0.0312856585134289,-0.12943600872482,0.361373589931775,"SARS-GSE56192"
"AC004264.1",0.0299594281899992,-0.0183611754144193,0.00519473347068728,"MERS-GSE56192"
"AC004477.2",0.0315332947478531,-0.14517783750606,0.406861299567063,"common"
"AC004528.2",0.0321865847146388,-0.197921393802289,0.574023694795001,"SARS-GSE56192"
"AC004542.1",0.0317811962429127,-0.167105123218922,0.478337831838488,"SARS-GSE56192"
"AC004542.2",0.0308320458511927,-0.0949538970851103,0.25430513075913,"SARS-GSE56192"
"AC004542.4",0.0283439331200414,0.555975736426434,-2.43517960785508,"SARS-COV2-GSE147507"
"AC004551.1",0.0292849719827943,0.18681299469301,-0.858176131214625,"SARS-COV2-GSE147507"
"AC004556.3",-1.11665549653048,-0.0172651191402807,0.0137529798887988,"MERS-GSE139516"
"AC004585.1",0.0299100699943623,0.651168712846329,0.189650511375444,"SARS-COV2-GSE120934"
"AC004707.2",0.0314551301346869,-0.14231867239469,0.401374821978824,"SARS-GSE56192"
"AC004854.2",2.0383439217159,-0.0160045957452129,0.00798173654036315,"MERS-GSE139516"
"AC004918.5",0.0297071793612553,-0.626815393258749,-0.150892327186265,"SARS-COV2-GSE120934"
"AC004974.1",0.0309993855499982,-0.107674499167781,0.293803154516221,"SARS-GSE56192"
"AC005041.5",0.0281154819414806,0.111550170833368,-0.386898998382785,"SARS-GSE56192"
"AC005045.1",0.031642150249835,-0.156535313653368,0.445518112566167,"SARS-GSE56192"
"AC005045.2",0.0311421739334789,-0.118528792687198,0.327506208861454,"SARS-GSE56192"
"AC005062.1",0.0288709636022738,0.0541209914078997,-0.208578893834632,"SARS-GSE56192"
"AC005082.2",0.0296767497462238,0.0331214108249895,-0.201630562850457,"SARS-COV2-GSE147507"
"AC005104.1",0.0314910060992952,-0.145045842775487,0.40984280484554,"SARS-GSE56192"
"AC005253.2",0.0312185937358492,0.389897831667976,0.461897828428525,"common"
"AC005261.1",0.0297264052629535,-0.505713711926436,-0.118622512469093,"SARS-COV2-GSE120934"
"AC005288.1",0.0309222924851838,-0.101814143210179,0.275606493907387,"SARS-GSE56192"
"AC005306.1",0.0309960495042681,-0.174977689167117,0.60055286235006,"common"
